pdf,page,country,hs_code,description
HS Code/6 digit/0207_2022e.pdf,3,,07.10,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen."
HS Code/6 digit/0207_2022e.pdf,3,,0710.10,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen. Potatoes"
HS Code/6 digit/0207_2022e.pdf,3,,0710.21,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen. Leguminous vegetables, shelled or unshelled: Peas (Pisum sativum)"
HS Code/6 digit/0207_2022e.pdf,3,,0710.22,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen. Leguminous vegetables, shelled or unshelled: Beans (Vigna spp., Phaseolus spp.)"
HS Code/6 digit/0207_2022e.pdf,3,,0710.29,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen. Leguminous vegetables, shelled or unshelled: Other"
HS Code/6 digit/0207_2022e.pdf,3,,0710.30,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen. Spinach, New Zealand spinach and orache spinach (garden spinach)"
HS Code/6 digit/0207_2022e.pdf,3,,0710.40,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen. Sweet corn"
HS Code/6 digit/0207_2022e.pdf,3,,0710.80,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen. Other vegetables"
HS Code/6 digit/0207_2022e.pdf,3,,0710.90,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen. Mixtures of vegetables"
HS Code/6 digit/0207_2022e.pdf,3,,07.11,"Vegetables provisionally preserved, but unsuitable in that state for immediate consumption."
HS Code/6 digit/0207_2022e.pdf,3,,0711.20,"Vegetables provisionally preserved, but unsuitable in that state for immediate consumption. Olives"
HS Code/6 digit/0207_2022e.pdf,3,,0711.40,"Vegetables provisionally preserved, but unsuitable in that state for immediate consumption. Cucumbers and gherkins"
HS Code/6 digit/0207_2022e.pdf,3,,0711.51,"Vegetables provisionally preserved, but unsuitable in that state for immediate consumption. Mushrooms and truffles: Mushrooms of the genus Agaricus"
HS Code/6 digit/0207_2022e.pdf,3,,0711.59,"Vegetables provisionally preserved, but unsuitable in that state for immediate consumption. Mushrooms and truffles: Other"
HS Code/6 digit/0207_2022e.pdf,3,,0711.90,"Vegetables provisionally preserved, but unsuitable in that state for immediate consumption. Other vegetables; mixtures of vegetables"
HS Code/6 digit/0207_2022e.pdf,3,,07.12,"Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared."
HS Code/6 digit/0207_2022e.pdf,3,,0712.20,"Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared. Onions"
HS Code/6 digit/0207_2022e.pdf,3,,0712.31,"Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared. Mushrooms, wood ears (Auricularia spp.), jelly fungi (Tremella spp.) and truffles: Mushrooms of the genus Agaricus"
HS Code/6 digit/0207_2022e.pdf,3,,0712.32,"Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared. Mushrooms, wood ears (Auricularia spp.), jelly fungi (Tremella spp.) and truffles: Wood ears (Auricularia spp.)"
HS Code/6 digit/0207_2022e.pdf,3,,0712.33,"Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared. Mushrooms, wood ears (Auricularia spp.), jelly fungi (Tremella spp.) and truffles: Jelly fungi (Tremella spp.)"
HS Code/6 digit/0207_2022e.pdf,3,,0712.34,"Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared. Mushrooms, wood ears (Auricularia spp.), jelly fungi (Tremella spp.) and truffles: Shiitake (Lentinus edodes)"
HS Code/6 digit/0207_2022e.pdf,3,,0712.39,"Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared. Mushrooms, wood ears (Auricularia spp.), jelly fungi (Tremella spp.) and truffles: Other"
HS Code/6 digit/0207_2022e.pdf,3,,0712.90,"Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared. Other vegetables; mixtures of vegetables"
HS Code/6 digit/0207_2022e.pdf,3,,07.13,"Dried leguminous vegetables, shelled, whether or not skinned or split."
HS Code/6 digit/0207_2022e.pdf,3,,0713.10,"Dried leguminous vegetables, shelled, whether or not skinned or split. Peas (Pisum sativum)"
HS Code/6 digit/0207_2022e.pdf,3,,0713.20,"Dried leguminous vegetables, shelled, whether or not skinned or split. Chickpeas (garbanzos)"
HS Code/6 digit/0207_2022e.pdf,3,,0713.31,"Dried leguminous vegetables, shelled, whether or not skinned or split. Beans (Vigna spp., Phaseolus spp.): Beans of the species Vigna mungo (L.) Hepper or Vigna radiata (L.) Wilczek"
HS Code/6 digit/0207_2022e.pdf,3,,0713.32,"Dried leguminous vegetables, shelled, whether or not skinned or split. Beans (Vigna spp., Phaseolus spp.): Small red (Adzuki) beans (Phaseolus or Vigna angularis)"
HS Code/6 digit/0207_2022e.pdf,4,,0713.33,"Dried leguminous vegetables, shelled, whether or not skinned or split Kidney beans, including white pea beans (Phaseolus vulgaris)"
HS Code/6 digit/0207_2022e.pdf,4,,0713.34,"Dried leguminous vegetables, shelled, whether or not skinned or split Bambara beans (Vigna subterranea or Voandzeia subterranea)"
HS Code/6 digit/0207_2022e.pdf,4,,0713.35,"Dried leguminous vegetables, shelled, whether or not skinned or split Cow peas (Vigna unguiculata)"
HS Code/6 digit/0207_2022e.pdf,4,,0713.39,"Dried leguminous vegetables, shelled, whether or not skinned or split Other"
HS Code/6 digit/0207_2022e.pdf,4,,0713.40,"Dried leguminous vegetables, shelled, whether or not skinned or split Lentils"
HS Code/6 digit/0207_2022e.pdf,4,,0713.50,"Dried leguminous vegetables, shelled, whether or not skinned or split Broad beans (Vicia faba var. major) and horse beans (Vicia faba var. equina, Vicia faba var. minor)"
HS Code/6 digit/0207_2022e.pdf,4,,0713.60,"Dried leguminous vegetables, shelled, whether or not skinned or split Pigeon peas (Cajanus cajan)"
HS Code/6 digit/0207_2022e.pdf,4,,0713.90,"Dried leguminous vegetables, shelled, whether or not skinned or split Other"
HS Code/6 digit/0207_2022e.pdf,4,,07.14,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith."
HS Code/6 digit/0207_2022e.pdf,4,,0714.10,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith. Manioc (cassava)"
HS Code/6 digit/0207_2022e.pdf,4,,0714.20,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith. Sweet potatoes"
HS Code/6 digit/0207_2022e.pdf,4,,0714.30,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith. Yams (Dioscorea spp.)"
HS Code/6 digit/0207_2022e.pdf,4,,0714.40,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith. Taro (Colocasia spp.)"
HS Code/6 digit/0207_2022e.pdf,4,,0714.50,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith. Yautia (Xanthosoma spp.)"
