pdf,page,country,hs_code,description
HS Code/6 digit/0207_2022e.pdf,4,,0713.33,"Kidney beans, including white pea beans (Phaseolus vulgaris)"
HS Code/6 digit/0207_2022e.pdf,4,,0713.34,Bambara beans (Vigna subterranea or Voandzeia subterranea)
HS Code/6 digit/0207_2022e.pdf,4,,0713.35,Cow peas (Vigna unguiculata)
HS Code/6 digit/0207_2022e.pdf,4,,0713.39,Other
HS Code/6 digit/0207_2022e.pdf,4,,0713.40,Lentils
HS Code/6 digit/0207_2022e.pdf,4,,0713.50,"Broad beans (Vicia faba var. major) and horse beans (Vicia faba var. equina, Vicia faba var. minor)"
HS Code/6 digit/0207_2022e.pdf,4,,0713.60,Pigeon peas (Cajanus cajan)
HS Code/6 digit/0207_2022e.pdf,4,,0713.90,Other
HS Code/6 digit/0207_2022e.pdf,4,,0714.10,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith. - Manioc (cassava)"
HS Code/6 digit/0207_2022e.pdf,4,,0714.20,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith. - Sweet potatoes"
HS Code/6 digit/0207_2022e.pdf,4,,0714.30,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith. - Yams (Dioscorea spp.)"
HS Code/6 digit/0207_2022e.pdf,4,,0714.40,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith. - Taro (Colocasia spp.)"
HS Code/6 digit/0207_2022e.pdf,4,,0714.50,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith. - Yautia (Xanthosoma spp.)"
HS Code/6 digit/0207_2022e.pdf,4,,0714.90,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith. - Other"
