pdf,page,country,hs_code,description
HS Code/6 digit/0207_2022e.pdf,1,,0701.10,"Potatoes, fresh or chilled: Seed"
HS Code/6 digit/0207_2022e.pdf,1,,0701.90,"Potatoes, fresh or chilled: Other"
HS Code/6 digit/0207_2022e.pdf,1,,0702.00,"Tomatoes, fresh or chilled."
HS Code/6 digit/0207_2022e.pdf,1,,0703.10,"Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled: Onions and shallots"
HS Code/6 digit/0207_2022e.pdf,1,,0703.20,"Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled: Garlic"
HS Code/6 digit/0207_2022e.pdf,1,,0703.90,"Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled: Leeks and other alliaceous vegetables"
HS Code/6 digit/0207_2022e.pdf,1,,0704.10,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled: Cauliflowers and broccoli"
HS Code/6 digit/0207_2022e.pdf,1,,0704.20,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled: Brussels sprouts"
HS Code/6 digit/0207_2022e.pdf,1,,0704.90,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled: Other"
HS Code/6 digit/0207_2022e.pdf,2,,0705.11,"Lettuce (Lactuca sativa) and chicory (Cichorium spp.), fresh or chilled. - Lettuce: Cabbage lettuce (head lettuce)"
HS Code/6 digit/0207_2022e.pdf,2,,0705.19,"Lettuce (Lactuca sativa) and chicory (Cichorium spp.), fresh or chilled. - Lettuce: Other"
HS Code/6 digit/0207_2022e.pdf,2,,0705.21,"Lettuce (Lactuca sativa) and chicory (Cichorium spp.), fresh or chilled. - Chicory: Witloof chicory (Cichorium intybus var. foliosum)"
HS Code/6 digit/0207_2022e.pdf,2,,0705.29,"Lettuce (Lactuca sativa) and chicory (Cichorium spp.), fresh or chilled. - Chicory: Other"
HS Code/6 digit/0207_2022e.pdf,2,,0706.10,"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots, fresh or chilled. - Carrots and turnips"
HS Code/6 digit/0207_2022e.pdf,2,,0706.90,"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots, fresh or chilled. - Other"
HS Code/6 digit/0207_2022e.pdf,2,,0707.00,"Cucumbers and gherkins, fresh or chilled."
HS Code/6 digit/0207_2022e.pdf,2,,0708.10,"Leguminous vegetables, shelled or unshelled, fresh or chilled. - Peas (Pisum sativum)"
HS Code/6 digit/0207_2022e.pdf,2,,0708.20,"Leguminous vegetables, shelled or unshelled, fresh or chilled. - Beans (Vigna spp., Phaseolus spp.)"
HS Code/6 digit/0207_2022e.pdf,2,,0708.90,"Leguminous vegetables, shelled or unshelled, fresh or chilled. - Other leguminous vegetables"
HS Code/6 digit/0207_2022e.pdf,2,,0709.20,"Other vegetables, fresh or chilled. - Asparagus"
HS Code/6 digit/0207_2022e.pdf,2,,0709.30,"Other vegetables, fresh or chilled. - Aubergines (egg-plants)"
HS Code/6 digit/0207_2022e.pdf,2,,0709.40,"Other vegetables, fresh or chilled. - Celery other than celeriac"
HS Code/6 digit/0207_2022e.pdf,2,,0709.51,"Other vegetables, fresh or chilled. - Mushrooms and truffles: Mushrooms of the genus Agaricus"
HS Code/6 digit/0207_2022e.pdf,2,,0709.52,"Other vegetables, fresh or chilled. - Mushrooms and truffles: Mushrooms of the genus Boletus"
