pdf,page,country,hs_code,description
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,,0701,"Potatoes, fresh or chilled:"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,,0701.10.00,Seed.
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,,0701.90,Other:
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,,0701.90.10,Yellow (Solano) potatoes.
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,,0701.90.50,Other.
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,US,0701.90.5005,Other. In immediate containers of not over 1200 kg net weight: Certified organic.
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,US,0701.90.5017,Other. In immediate containers of not over 1200 kg net weight: Russet or netted gem varieties.
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,US,0701.90.5021,Other. In immediate containers of not over 1200 kg net weight: Red skin varieties.
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,US,0701.90.5037,Other. In immediate containers of not over 1200 kg net weight: White varieties.
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,US,0701.90.5041,Other. In immediate containers of not over 1200 kg net weight: Other.
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,US,0701.90.5043,Other. Other: Certified organic.
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,US,0701.90.5046,Other. Other: Russet or netted gem varieties.
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,US,0701.90.5056,Other. Other: Red skin varieties.
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,US,0701.90.5066,Other. Other: White varieties.
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,US,0701.90.5076,Other. Other: Other
