pdf,page,hs_code,description
HS Code/6 digit/0208_2022e.pdf,2,0802.41,Chestnuts (Castanea spp.) - In shell
HS Code/6 digit/0208_2022e.pdf,2,0802.42,Chestnuts (Castanea spp.) - Shelled
HS Code/6 digit/0208_2022e.pdf,2,0802.51,Pistachios - In shell
HS Code/6 digit/0208_2022e.pdf,2,0802.52,Pistachios - Shelled
HS Code/6 digit/0208_2022e.pdf,2,0802.61,Macadamia nuts - In shell
HS Code/6 digit/0208_2022e.pdf,2,0802.62,Macadamia nuts - Shelled
HS Code/6 digit/0208_2022e.pdf,2,0802.70,Kola nuts (Cola spp.)
HS Code/6 digit/0208_2022e.pdf,2,0802.80,Areca nuts
HS Code/6 digit/0208_2022e.pdf,2,0802.91,"Other - Pine nuts, in shell"
HS Code/6 digit/0208_2022e.pdf,2,0802.92,"Other - Pine nuts, shelled"
HS Code/6 digit/0208_2022e.pdf,2,0802.99,Other - Other
HS Code/6 digit/0208_2022e.pdf,2,08.03,"Bananas, including plantains, fresh or dried."
HS Code/6 digit/0208_2022e.pdf,2,0803.10,Plantains
HS Code/6 digit/0208_2022e.pdf,2,0803.90,Other
HS Code/6 digit/0208_2022e.pdf,2,08.04,"Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens, fresh or dried."
HS Code/6 digit/0208_2022e.pdf,2,0804.10,Dates
HS Code/6 digit/0208_2022e.pdf,2,0804.20,Figs
HS Code/6 digit/0208_2022e.pdf,2,0804.30,Pineapples
HS Code/6 digit/0208_2022e.pdf,2,0804.40,Avocados
HS Code/6 digit/0208_2022e.pdf,2,0804.50,"Guavas, mangoes and mangosteens"
HS Code/6 digit/0208_2022e.pdf,2,08.05,"Citrus fruit, fresh or dried."
HS Code/6 digit/0208_2022e.pdf,2,0805.10,Oranges
HS Code/6 digit/0208_2022e.pdf,2,0805.21,"Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids - Mandarins (including tangerines and satsumas)"
HS Code/6 digit/0208_2022e.pdf,2,0805.22,"Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids - Clementines"
HS Code/6 digit/0208_2022e.pdf,2,0805.29,"Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids - Other"
HS Code/6 digit/0208_2022e.pdf,2,0805.40,Grapefruit and pomelos
HS Code/6 digit/0208_2022e.pdf,2,0805.50,"Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)"
HS Code/6 digit/0208_2022e.pdf,2,0805.90,Other
