pdf,page,hs_code,description
HS Code/6 digit/0207_2022e.pdf,1,07.01,"Potatoes, fresh or chilled."
HS Code/6 digit/0207_2022e.pdf,1,0701.10,Seed
HS Code/6 digit/0207_2022e.pdf,1,0701.90,Other
HS Code/6 digit/0207_2022e.pdf,1,07.02,"0702.00 Tomatoes, fresh or chilled."
HS Code/6 digit/0207_2022e.pdf,1,07.03,"Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled."
HS Code/6 digit/0207_2022e.pdf,1,0703.10,Onions and shallots
HS Code/6 digit/0207_2022e.pdf,1,0703.20,Garlic
HS Code/6 digit/0207_2022e.pdf,1,0703.90,Leeks and other alliaceous vegetables
HS Code/6 digit/0207_2022e.pdf,1,07.04,"Cabbages, cauliflower, kohlrabi, kale and similar edible brassicas, fresh or chilled."
HS Code/6 digit/0207_2022e.pdf,1,0704.10,Cauliflower and broccoli
HS Code/6 digit/0207_2022e.pdf,1,0704.20,Brussels sprouts
HS Code/6 digit/0207_2022e.pdf,1,0704.90,Other
HS Code/6 digit/0207_2022e.pdf,2,07.05,"Lettuce (Lactuca sativa) and chicory (Cichorium spp.), fresh or chilled."
HS Code/6 digit/0207_2022e.pdf,2,0705.11,Lettuce - Cabbage lettuce (head lettuce)
HS Code/6 digit/0207_2022e.pdf,2,0705.19,Lettuce - Other
HS Code/6 digit/0207_2022e.pdf,2,0705.21,Chicory - Witloof chicory (Cichorium intybus var. foliosum)
HS Code/6 digit/0207_2022e.pdf,2,0705.29,Chicory - Other
HS Code/6 digit/0207_2022e.pdf,2,07.06,"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots, fresh or chilled."
HS Code/6 digit/0207_2022e.pdf,2,0706.10,Carrots and turnips
HS Code/6 digit/0207_2022e.pdf,2,0706.90,Other
HS Code/6 digit/0207_2022e.pdf,2,07.07,"0707.00 Cucumbers and gherkins, fresh or chilled."
HS Code/6 digit/0207_2022e.pdf,2,07.08,"Leguminous vegetables, shelled or unshelled, fresh or chilled."
HS Code/6 digit/0207_2022e.pdf,2,0708.10,Peas (Pisum sativum)
HS Code/6 digit/0207_2022e.pdf,2,0708.20,"Beans (Vigna spp., Phaseolus spp.)"
HS Code/6 digit/0207_2022e.pdf,2,0708.90,Other leguminous vegetables
HS Code/6 digit/0207_2022e.pdf,2,07.09,"Other vegetables, fresh or chilled."
HS Code/6 digit/0207_2022e.pdf,2,0709.20,Asparagus
HS Code/6 digit/0207_2022e.pdf,2,0709.30,Aubergines (egg-plants)
