pdf,page,country,hs_code,description
HS Code/6 digit/0207_2022e.pdf,1,,07.01,"Potatoes, fresh or chilled."
HS Code/6 digit/0207_2022e.pdf,1,,0701.10,"Potatoes, fresh or chilled: Seed"
HS Code/6 digit/0207_2022e.pdf,1,,0701.90,"Potatoes, fresh or chilled: Other"
HS Code/6 digit/0207_2022e.pdf,1,,07.02,"Tomatoes, fresh or chilled."
HS Code/6 digit/0207_2022e.pdf,1,,07.03,"Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled."
HS Code/6 digit/0207_2022e.pdf,1,,0703.10,"Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled: Onions and shallots"
HS Code/6 digit/0207_2022e.pdf,1,,0703.20,"Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled: Garlic"
HS Code/6 digit/0207_2022e.pdf,1,,0703.90,"Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled: Leeks and other alliaceous vegetables"
HS Code/6 digit/0207_2022e.pdf,1,,07.04,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled."
HS Code/6 digit/0207_2022e.pdf,1,,0704.10,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled: Cauliflowers and broccoli"
HS Code/6 digit/0207_2022e.pdf,1,,0704.20,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled: Brussels sprouts"
HS Code/6 digit/0207_2022e.pdf,1,,0704.90,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled: Other"
HS Code/6 digit/0207_2022e.pdf,3,,0710.10,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen: Potatoes"
HS Code/6 digit/0207_2022e.pdf,3,,0710.21,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen: Leguminous vegetables, shelled or unshelled: Peas (Pisum sativum)"
HS Code/6 digit/0207_2022e.pdf,3,,0710.22,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen: Leguminous vegetables, shelled or unshelled: Beans (Vigna spp., Phaseolus spp.)"
HS Code/6 digit/0207_2022e.pdf,3,,0710.29,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen: Leguminous vegetables, shelled or unshelled: Other"
HS Code/6 digit/0207_2022e.pdf,3,,0710.30,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen: Spinach, New Zealand spinach and orache spinach (garden spinach)"
HS Code/6 digit/0207_2022e.pdf,3,,0710.40,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen: Sweet corn"
HS Code/6 digit/0207_2022e.pdf,3,,0710.80,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen: Other vegetables"
HS Code/6 digit/0207_2022e.pdf,3,,0710.90,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen: Mixtures of vegetables"
HS Code/6 digit/0207_2022e.pdf,3,,0711.20,"Vegetables provisionally preserved, but unsuitable in that state for immediate consumption: Olives"
HS Code/6 digit/0207_2022e.pdf,3,,0711.40,"Vegetables provisionally preserved, but unsuitable in that state for immediate consumption: Cucumbers and gherkins"
